Client,Type,Start,End,DurationSec,StartOffsetSec,EndOffsetSec
Client 3,Startup,2025-04-09 15:58:13.005,2025-04-09 16:00:39.526,146.521,29.846,
Client 3,Train,2025-04-09 16:00:39.871,2025-04-09 17:17:27.145,4607.274,176.712,
Client 3,Test,2025-04-09 17:17:27.271,2025-04-09 17:18:15.001,47.73,4784.112,
Client 2,Startup,2025-04-09 15:58:10.624,2025-04-09 15:59:41.690,91.066,27.465,
Client 2,Train,2025-04-09 16:00:40.272,2025-04-09 16:17:54.175,1033.903,177.113,
Client 2,Test,2025-04-09 17:17:27.638,2025-04-09 17:17:37.832,10.194,4784.479,
Client 1,Startup,2025-04-09 15:57:43.159,2025-04-09 15:58:33.629,50.47,0.0,
Client 1,Train,2025-04-09 16:00:39.532,2025-04-09 16:10:36.496,596.964,176.373,
Client 1,Test,2025-04-09 17:17:26.930,2025-04-09 17:17:35.759,8.829,4783.771,
